n_layers,layer_1_log2,layer_2_log2,layer_3_log2,layer_4_log2,alpha_log10,learning_are_init_log10,beta_1_log10,beta_2_log10,tol_log_10
2,4.5236,2,3.7004,2.3219,-3.1888,-4.1922,-1.3064,-1.8221,-0.8754
3,3.3219,2.585,1,3,-3.79,-4.3058,-1.4908,-2.5017,-0.4899
2,3.8074,4.6439,2.585,2.3219,-4.7168,-3.7004,-1.7983,-0.0352,0.354
2,3,2.8074,1.585,4.3219,-4.8634,-2.0141,-2.0262,-1.6646,0.1423
2,2.8074,3.1699,4,3.585,-3.5225,-3.0669,-2.4351,-0.9483,-0.9627
3,1.585,3.4594,2,1.585,-3.4972,-3.2946,-2.7357,-1.4314,-0.6967
3,4.6439,1.585,3,2.3219,-2.2248,-4.8833,-1.0096,-0.2898,-1.2523
1,3,4.2479,4.6439,4.0875,-2.2592,-5.6748,-0.3743,-1.0563,-1.1495
1,3.585,3.3219,1,3.9069,-1.2052,-4.7904,-2.3536,-2.3108,-1.9128
4,1.585,4.1699,1.585,1.585,-5.2129,-5.2533,-0.4694,-2.0005,0.7634
3,3.7004,1,3.3219,4.9542,-2.5532,-3.8236,-0.7562,-2.1558,-1.7966
2,2.3219,2,2,1,-5.7198,-2.8187,-1.5475,-0.3648,-0.2673
3,1.585,3.7004,4.3219,4.3923,-4.3242,-5.832,-2.6035,-2.9157,-0.5065
4,4.8074,1.585,3.1699,2,-5.254,-5.156,-0.2291,-2.6053,0.6143
3,4,4.9069,4.3923,2.8074,-1.5274,-2.6354,-2.9671,-0.5396,0.0696
2,2,4.3923,2.585,3.3219,-4.0022,-2.3096,-1.1246,-1.5053,0.9469
1,1,2.3219,3.4594,1.585,-1.9475,-2.5209,-1.8142,-2.7043,-1.5326
3,1,1.585,3.8074,4.7004,-1.3361,-3.4938,-0.0723,-0.8041,0.5261
4,2.3219,3.9069,4.8074,2.8074,-5.772,-4.5182,-0.7007,-0.6097,-1.6369
1,4.3219,2.585,2.3219,3.4594,-2.8562,-5.4944,-2.1087,-1.2367,-0.0681
