n_layers,layer_1_log2,layer_2_log2,layer_3_log2,layer_4_log2,alpha_log10,learning_are_init_log10,beta_1_log10,beta_2_log10,tol_log_10
3,3.3219,4,3.1699,1.585,-5.4831,-2.6341,-2.8487,-1.0076,-1.5227
3,3.8074,1.585,2.3219,2.3219,-1.1098,-2.8485,-1.6273,-2.1022,-0.4273
2,4.3923,2.3219,3,3.7004,-2.9885,-4.6694,-1.2707,-0.4695,-0.5323
2,1.585,3.3219,2.8074,2.585,-4.4041,-4.2134,-0.891,-1.4862,0.6772
3,2,3.4594,4.1699,1.585,-3.4244,-2.1254,-2.3308,-1.8892,-0.7115
3,4.4594,1.585,4.585,4.2479,-3.0434,-3.505,-0.7314,-2.0647,-0.9951
4,2.585,2.585,2,2,-5.8898,-3.7645,-1.76,-2.767,0.0512
2,3,4.585,3.8074,3.1699,-1.9217,-3.2202,-0.9518,-2.5066,0.3364
1,2,2,4.5236,4.585,-2.2153,-5.2765,-0.317,-1.5265,0.1047
4,1.585,3.1699,1,3.4594,-1.5705,-4.5116,-0.0259,-0.3385,-0.2248
3,2.8074,4,4.8074,4.1699,-4.8558,-5.0224,-1.848,-2.5964,-0.8521
2,4.6439,2,3.4594,2.585,-4.7363,-3.8682,-2.6875,-1.2116,-1.2135
3,3.8074,2.585,1,3.3219,-2.3427,-2.2113,-2.0029,-1.7577,-1.6883
2,1,3.8074,4.2479,3,-5.5794,-4.1736,-1.1277,-0.1382,-1.8363
1,4.0875,4.1699,1.585,4.8074,-1.3278,-5.4685,-0.1979,-0.616,-1.3357
2,1.585,4.8074,2.585,2,-5.1332,-5.9823,-0.4889,-2.9372,0.8394
3,5,1,2,3.9069,-4.0037,-5.7567,-2.8869,-0.2483,-1.8964
1,2.8074,4.8074,1.585,1,-3.7144,-2.4177,-2.4524,-1.0663,0.8921
2,2.3219,1,2.3219,4.9542,-3.9739,-3.18,-2.1931,-2.3532,0.509
4,3.585,3,3.9069,1,-2.5125,-4.9923,-1.4341,-0.8645,-0.1428
